correct: 0.9371, a: 0.11, a2: 0.94
correct: 0.9634, a: -0.03, a2: 0.96
correct: 0.9724, a: -0.08, a2: 0.97
correct: 0.9726, a: -0.11, a2: 0.97
correct: 0.9749, a: -0.13, a2: 0.97
correct: 0.9771, a: -0.15, a2: 0.98
correct: 0.9793, a: -0.16, a2: 0.98
correct: 0.9772, a: -0.18, a2: 0.98
correct: 0.9794, a: -0.18, a2: 0.98
correct: 0.9799, a: -0.19, a2: 0.98
correct: 0.9728, a: -0.19, a2: 0.97
correct: 0.9783, a: -0.18, a2: 0.98
correct: 0.9796, a: -0.18, a2: 0.98
correct: 0.9818, a: -0.18, a2: 0.98
correct: 0.9808, a: -0.17, a2: 0.98
correct: 0.9815, a: -0.18, a2: 0.98
correct: 0.9813, a: -0.18, a2: 0.98
correct: 0.9827, a: -0.18, a2: 0.98
correct: 0.9819, a: -0.18, a2: 0.98
correct: 0.9799, a: -0.18, a2: 0.98
correct: 0.9812, a: -0.18, a2: 0.98
correct: 0.9817, a: -0.17, a2: 0.98
correct: 0.9833, a: -0.18, a2: 0.98
correct: 0.9842, a: -0.17, a2: 0.98
correct: 0.9844, a: -0.17, a2: 0.98
correct: 0.9829, a: -0.17, a2: 0.98
correct: 0.9831, a: -0.18, a2: 0.98
correct: 0.9836, a: -0.19, a2: 0.98
correct: 0.9831, a: -0.19, a2: 0.98
correct: 0.9834, a: -0.19, a2: 0.98
correct: 0.9831, a: -0.19, a2: 0.98
correct: 0.9831, a: -0.19, a2: 0.98
correct: 0.9831, a: -0.19, a2: 0.98
correct: 0.9834, a: -0.20, a2: 0.98
correct: 0.9834, a: -0.20, a2: 0.98
correct: 0.9834, a: -0.20, a2: 0.98
correct: 0.9834, a: -0.20, a2: 0.98
correct: 0.9834, a: -0.20, a2: 0.98
correct: 0.9833, a: -0.20, a2: 0.98
correct: 0.9833, a: -0.20, a2: 0.98
correct: 0.9833, a: -0.20, a2: 0.98
correct: 0.9833, a: -0.20, a2: 0.98
correct: 0.9833, a: -0.20, a2: 0.98
correct: 0.9833, a: -0.20, a2: 0.98
correct: 0.9833, a: -0.20, a2: 0.98
correct: 0.9833, a: -0.20, a2: 0.98
correct: 0.9833, a: -0.20, a2: 0.98
correct: 0.9834, a: -0.21, a2: 0.98
correct: 0.9834, a: -0.21, a2: 0.98
correct: 0.9834, a: -0.21, a2: 0.98
correct: 0.9834, a: -0.21, a2: 0.98
correct: 0.9835, a: -0.21, a2: 0.98
correct: 0.9835, a: -0.21, a2: 0.98
correct: 0.9835, a: -0.21, a2: 0.98
correct: 0.9836, a: -0.21, a2: 0.98
correct: 0.9837, a: -0.21, a2: 0.98
correct: 0.9837, a: -0.21, a2: 0.98
correct: 0.9837, a: -0.21, a2: 0.98
correct: 0.9837, a: -0.21, a2: 0.98
correct: 0.9837, a: -0.21, a2: 0.98
correct: 0.9837, a: -0.21, a2: 0.98
correct: 0.9837, a: -0.21, a2: 0.98
correct: 0.9838, a: -0.21, a2: 0.98
correct: 0.9838, a: -0.21, a2: 0.98
correct: 0.9838, a: -0.21, a2: 0.98
correct: 0.9838, a: -0.21, a2: 0.98
correct: 0.9838, a: -0.21, a2: 0.98
correct: 0.9838, a: -0.21, a2: 0.98
correct: 0.9838, a: -0.21, a2: 0.98
correct: 0.9838, a: -0.21, a2: 0.98
correct: 0.9838, a: -0.21, a2: 0.98
correct: 0.9838, a: -0.21, a2: 0.98
correct: 0.9839, a: -0.21, a2: 0.98
correct: 0.9839, a: -0.21, a2: 0.98
correct: 0.9839, a: -0.21, a2: 0.98
correct: 0.9839, a: -0.21, a2: 0.98
correct: 0.9838, a: -0.21, a2: 0.98
correct: 0.9838, a: -0.21, a2: 0.98
correct: 0.9838, a: -0.21, a2: 0.98
correct: 0.9838, a: -0.21, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98
correct: 0.9839, a: -0.22, a2: 0.98

real    170m27.920s
user    336m15.217s
sys     1m44.744s
